antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'customer_type_Transient', 'deposit_type_Non Refund', 'hotel_City Hotel'})",frozenset({'market_segment_Groups'}),0.2554356433403471,0.2736261001380122,0.14789927373922487,0.579007971656333,2.116055344736089,1.0,0.0780054148157615,1.7253863516603916,0.708363976402625,0.388021606220692,0.4204196648259854,0.5597619649913879
frozenset({'market_segment_Offline TA/TO'}),"frozenset({'customer_type_Transient', 'deposit_type_Non Refund', 'hotel_City Hotel'})",0.18783230389827824,0.2554356433403471,0.10040951152741012,0.5345699831365937,2.092777562856891,1.0,0.05243044614105384,1.5997342880404863,0.6429289584140534,0.2928599709647618,0.37489618902592914,0.4638306071573136
"frozenset({'customer_type_Transient', 'deposit_type_Non Refund', 'hotel_City Hotel'})",frozenset({'market_segment_Offline TA/TO'}),0.2554356433403471,0.18783230389827824,0.10040951152741012,0.39309123117803363,2.0927775628568908,1.0,0.05243044614105384,1.3382039242540047,0.7013042274207444,0.2928599709647618,0.252729735822991,0.4638306071573136
frozenset({'deposit_type_Non Refund'}),"frozenset({'market_segment_Offline TA/TO', 'hotel_City Hotel'})",0.32792597117581845,0.16213036494038327,0.10982148917396321,0.3348971988408997,2.0656044224907792,1.0,0.05665473179379816,1.2597595944558182,0.767594309293411,0.28882541949303825,0.20619775042715754,0.5061312675756271
"frozenset({'market_segment_Offline TA/TO', 'hotel_City Hotel'})",frozenset({'deposit_type_Non Refund'}),0.16213036494038327,0.32792597117581845,0.10982148917396321,0.6773653363103544,2.0656044224907792,1.0,0.05665473179379816,2.083080662004362,0.6157046136570294,0.28882541949303825,0.5199417774644456,0.5061312675756271
frozenset({'market_segment_Offline TA/TO'}),"frozenset({'deposit_type_Non Refund', 'hotel_City Hotel'})",0.18783230389827824,0.29059480983732666,0.10982148917396321,0.5846783907492171,2.0120056207353354,1.0,0.055238396541336096,1.7080863946434208,0.6193099014383493,0.29793763810459123,0.41454951978072546,0.48129902097411026
"frozenset({'deposit_type_Non Refund', 'hotel_City Hotel'})",frozenset({'market_segment_Offline TA/TO'}),0.29059480983732666,0.18783230389827824,0.10982148917396321,0.3779196511990034,2.012005620735335,1.0,0.055238396541336096,1.3055671950851708,0.7090214489533544,0.29793763810459123,0.23404938193567013,0.48129902097411026
frozenset({'customer_type_Transient-Party'}),frozenset({'market_segment_Groups'}),0.14446028190683047,0.2736261001380122,0.07522794633362746,0.5207517619420517,1.9031509116980936,1.0,0.035699842770623595,1.5156527289603896,0.5546856377734944,0.21941401610135938,0.34021825653564075,0.3978407395785999
frozenset({'market_segment_Groups'}),frozenset({'customer_type_Transient-Party'}),0.2736261001380122,0.14446028190683047,0.07522794633362746,0.27492971721514803,1.9031509116980936,1.0,0.035699842770623595,1.1799403980634955,0.6533213738285911,0.21941401610135938,0.15249956553637087,0.3978407395785999
"frozenset({'customer_type_Transient', 'deposit_type_Non Refund'})",frozenset({'market_segment_Offline TA/TO'}),0.29206543134460056,0.18783230389827824,0.10371275368221,0.3551010922612131,1.890521943730831,1.0,0.04885343082370927,1.2593721067840393,0.6653800622114687,0.27569615685331084,0.20595351079068888,0.45362859961169544
